Name;NSta;NGroup;NRawSlotNum;TCPSegmentSize;IPCameraDataRate;DataMode;EDCAQueueLength;TCPConnected;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;1;2680;64;MCS2_4;0;1;3037.2;2307.6;4933.5
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate64Nsta10DataModeMCS2_8;10;4;1;2680;64;MCS2_8;0;1;3289.3;2945.1;6565.2
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate64Nsta15DataModeMCS2_8;15;4;1;2680;64;MCS2_8;0;1;3800.8;2959.53333333333;5288.46666666667
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate64Nsta5DataModeMCS2_4;5;4;1;2680;64;MCS2_4;0;1;2115;2071;6567.2
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate64Nsta5DataModeMCS2_8;5;4;1;2680;64;MCS2_8;0;1;2160;2111.4;6586
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate8Nsta10DataModeMCS2_4;10;4;1;2680;8;MCS2_4;0;1;344.9;342.8;950.5
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate8Nsta10DataModeMCS2_8;10;4;1;2680;8;MCS2_8;0;1;332.1;332.1;937.1
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate8Nsta15DataModeMCS2_4;15;4;1;2680;8;MCS2_4;0;1;478.066666666667;475.933333333333;1085.66666666667
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate8Nsta15DataModeMCS2_8;15;4;1;2680;8;MCS2_8;0;1;445;442.066666666667;1048.6
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate8Nsta5DataModeMCS2_4;5;4;1;2680;8;MCS2_4;0;1;272.4;272.4;877.4
NGroup4NRawSlotNum1TCPSegmentSize2680IpCameraDataRate8Nsta5DataModeMCS2_8;5;4;1;2680;8;MCS2_8;0;1;275;275;880
