Name;NSta;NGroup;NRawSlotNum;TCPSegmentSize;IPCameraDataRate;DataMode;EDCAQueueLength;TCPConnected;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;DropTCPTxBufferExceeded
NGroup4NRawSlotNum1TCPSegmentSize1072IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;1;1072;64;MCS2_4;0;1;4637.4;3498.1;9878.7;0;11654.5;972.3
NGroup8NRawSlotNum1TCPSegmentSize1072IpCameraDataRate64Nsta10DataModeMCS2_4;10;8;1;1072;64;MCS2_4;0;1;3184.4;1616.6;4939.3;0;26797.8;1483.3
NGroup1NRawSlotNum2TCPSegmentSize1072IpCameraDataRate64Nsta10DataModeMCS2_4;10;1;2;1072;64;MCS2_4;0;1;5318.2;5173.9;17357.7;4.2;115;0
NGroup2NRawSlotNum2TCPSegmentSize1072IpCameraDataRate64Nsta10DataModeMCS2_4;10;2;2;1072;64;MCS2_4;0;1;5787;5520.1;17983;0;152.7;0
NGroup4NRawSlotNum2TCPSegmentSize1072IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;2;1072;64;MCS2_4;0;1;5159.1;3875.3;10935;0;28405;907.7
NGroup8NRawSlotNum2TCPSegmentSize1072IpCameraDataRate64Nsta10DataModeMCS2_4;10;8;2;1072;64;MCS2_4;21.7;1;3595.9;1963.4;5578.1;21.7;56677.7;1443.5
NGroup1NRawSlotNum5TCPSegmentSize1072IpCameraDataRate64Nsta10DataModeMCS2_4;10;1;5;1072;64;MCS2_4;0;1;4141.1;3863.3;16038.6;17.5;114.6;0
NGroup2NRawSlotNum5TCPSegmentSize1072IpCameraDataRate64Nsta10DataModeMCS2_4;10;2;5;1072;64;MCS2_4;0;1;5113.4;4445.4;16940.3;2.2;1552.9;6.2
NGroup4NRawSlotNum5TCPSegmentSize1072IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;5;1072;64;MCS2_4;0;1;4637.6;2815.3;9463.8;12.2;29425.6;966.6
NGroup8NRawSlotNum5TCPSegmentSize1072IpCameraDataRate64Nsta10DataModeMCS2_4;10;8;5;1072;64;MCS2_4;26.4;1;3353.3;1440.5;4814.3;34.4;58829.2;1476
NGroup1NRawSlotNum1TCPSegmentSize1608IpCameraDataRate64Nsta10DataModeMCS2_4;10;1;1;1608;64;MCS2_4;0;1;10622.2;10536.2;20726.7;18.6;107.1;0
NGroup2NRawSlotNum1TCPSegmentSize1608IpCameraDataRate64Nsta10DataModeMCS2_4;10;2;1;1608;64;MCS2_4;0;1;6235.2;6079.5;16072.4;0;178.7;0
NGroup4NRawSlotNum1TCPSegmentSize1608IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;1;1608;64;MCS2_4;0;1;3674.7;2748.7;8017.1;0;6986.6;788.4
NGroup8NRawSlotNum1TCPSegmentSize1608IpCameraDataRate64Nsta10DataModeMCS2_4;10;8;1;1608;64;MCS2_4;0;1;2748.6;1295.8;4033.6;0;19950.8;1385.6
NGroup1NRawSlotNum2TCPSegmentSize1608IpCameraDataRate64Nsta10DataModeMCS2_4;10;1;2;1608;64;MCS2_4;0;1;4264;4163.9;14273.5;6;113;0
NGroup2NRawSlotNum2TCPSegmentSize1608IpCameraDataRate64Nsta10DataModeMCS2_4;10;2;2;1608;64;MCS2_4;0;1;4896.2;4590.9;14546.4;0;175.1;0
NGroup4NRawSlotNum2TCPSegmentSize1608IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;2;1608;64;MCS2_4;0;1;4508.8;3420.9;9010.6;0;24239.2;742.3
NGroup8NRawSlotNum2TCPSegmentSize1608IpCameraDataRate64Nsta10DataModeMCS2_4;10;8;2;1608;64;MCS2_4;3.5;1;3297.7;1759.6;4570;3.5;49084;1362.4
NGroup1NRawSlotNum5TCPSegmentSize1608IpCameraDataRate64Nsta10DataModeMCS2_4;10;1;5;1608;64;MCS2_4;0;1;3288.6;2898.2;13003.2;5.3;117.4;0
NGroup2NRawSlotNum5TCPSegmentSize1608IpCameraDataRate64Nsta10DataModeMCS2_4;10;2;5;1608;64;MCS2_4;0;1;4380.3;3744.9;13734.9;1.5;178.2;0
NGroup4NRawSlotNum5TCPSegmentSize1608IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;5;1608;64;MCS2_4;0;1;4166.7;2647.1;7311.5;8.8;28587.7;918.6
NGroup8NRawSlotNum5TCPSegmentSize1608IpCameraDataRate64Nsta10DataModeMCS2_4;10;8;5;1608;64;MCS2_4;14.7;1;3110;1351.1;3709.6;22.1;57238.8;1452.6
NGroup1NRawSlotNum1TCPSegmentSize2144IpCameraDataRate64Nsta10DataModeMCS2_4;10;1;1;2144;64;MCS2_4;0;1;5540.5;5524.1;11636.7;3.4;126.2;0
NGroup2NRawSlotNum1TCPSegmentSize2144IpCameraDataRate64Nsta10DataModeMCS2_4;10;2;1;2144;64;MCS2_4;0;1;4310.6;4275.6;10529.2;0;193.7;0
NGroup4NRawSlotNum1TCPSegmentSize2144IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;1;2144;64;MCS2_4;0;1;3590.8;2791.9;7260.3;0;4739.4;683.1
NGroup8NRawSlotNum1TCPSegmentSize2144IpCameraDataRate64Nsta10DataModeMCS2_4;10;8;1;2144;64;MCS2_4;0;1;2781.4;1381.1;3621.5;0;17843.6;1341.3
NGroup1NRawSlotNum2TCPSegmentSize2144IpCameraDataRate64Nsta10DataModeMCS2_4;10;1;2;2144;64;MCS2_4;0;1;3413.3;3395.5;9476.3;2;123.4;0
NGroup2NRawSlotNum2TCPSegmentSize2144IpCameraDataRate64Nsta10DataModeMCS2_4;10;2;2;2144;64;MCS2_4;0;1;3501.5;3445.5;9649.6;0;184.8;0
NGroup4NRawSlotNum2TCPSegmentSize2144IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;2;2144;64;MCS2_4;0;1;4093.5;3147.8;7708.6;0;21869.1;641.4
NGroup8NRawSlotNum2TCPSegmentSize2144IpCameraDataRate64Nsta10DataModeMCS2_4;10;8;2;2144;64;MCS2_4;0;1;3058.2;1598.2;3907.4;0;45138.4;1308.7
NGroup1NRawSlotNum5TCPSegmentSize2144IpCameraDataRate64Nsta10DataModeMCS2_4;10;1;5;2144;64;MCS2_4;0;1;2985;2980.7;9098.7;0;129.5;0
