Name;SensorMeasurementSize;NSta;NGroup;NRawSlotNum;TrafficInterval;APAlwaysSchedulesForNextSlot;ContentionPerRAWSlot;EDCAQueueLength;TCPConnected;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;DropTCPTxBufferExceeded;TotalDozeTime;NumberOfTCPRetransmissions;NumberOfTCPRetransmissionsFromAP;NumberOfAPScheduledPacketForNodeInNextSlot
SensorMeasurementSize154NGroup16NRawSlotNum10ContentionPerRAWSlot69TrafficInterval50000;154;700;16;10;50000;0;69;4.43285714285714,1,4,8,0,13;0.0414285714285714,0,0,0,0,1;479.568571428571,504.5,576,593,1,1085;471.651428571429,502.75,575,590,1,614;479.071428571429,510.75,581,596,6,627;-0.00285714285714286,-1,-1,2,-1,2;490.995714285714,0,0,0,0,128730;0,0,0,0,0,0;973772.015714286,970186,972898.5,977514,966391,984846;2.33857142857143,0,0,7,0,7;0,0,0,0,0,0;6.91714285714286,4,6,12,0,21
SensorMeasurementSize154NGroup12NRawSlotNum10ContentionPerRAWSlot94TrafficInterval40000;154;950;12;10;40000;0;94;4.7578947368421,2,5,8,0,12;0.0252631578947368,0,0,0,0,1;716.888421052632,748,781,796,4,2086;709.037894736842,747,780,794,4,1575;715.325263157895,753.25,784,799,11,1583;-0.165263157894737,-1,-1,1,-1,2;23.3410526315789,0,0,0,0,14013;0,0,0,0,0,0;965959.449473684,961373,965909,970528.25,943486,981592;1.99473684210526,0,0,7,0,7;0,0,0,0,0,0;5.78736842105263,1,6,6,0,18
SensorMeasurementSize154NGroup8NRawSlotNum10ContentionPerRAWSlot54TrafficInterval50000;154;550;8;10;50000;0;54;7.72545454545455,8,8,8,0,10;0.0345454545454545,0,0,0,0,1;961.154545454545,989,1033,1073,1,1215;959.221818181818,989,1032,1071,1,1147;971.623636363636,1001,1043.5,1081.75,12,1157;1.97454545454545,2,2,2,0,5;16949.9818181818,0,7860,25495.25,0,132421;0,0,0,0,0,0;959732.025454546,956363.25,958700,960848.5,950717,974832;6.81636363636364,7,7,7,0,8;0,0,0,0,0,0;3.30727272727273,2,3,4,0,20
SensorMeasurementSize154NGroup4NRawSlotNum5ContentionPerRAWSlot144TrafficInterval30000;154;725;4;5;30000;0;144;7.42206896551724,6,9,10,0,15;0.641379310344828,0,1,1,0,1;1665.1075862069,1298,1955,2099,5,2367;1655.98620689655,1283,1948,2091,5,2367;1694.93655172414,1350,1979,2118,74,2376;1.32689655172414,0,1,2,-4,12;89303.9475862069,21258,66428,129191,0,776674;0,0,0,0,0,0;901439.597241379,895688,898025,900955,882191,925362;6.38896551724138,5,7,9,0,13;0,0,0,0,0,0;14.3103448275862,8,11,21,0,35
SensorMeasurementSize54NGroup8NRawSlotNum2ContentionPerRAWSlot134TrafficInterval50000;54;270;8;2;50000;0;134;0,0,0,0,0,0;1,1,1,1,1,1;16.8888888888889,13.25,20,22,0,33;16.662962962963,13,19,21.75,0,26;61.8111111111111,57,63,68,42,81;0.0185185185185185,0,0,0,0,1;371.666666666667,294,364.5,449,215,540;0,0,0,0,0,0;926121.57037037,920672,925866,931782,919156,933022;0,0,0,0,0,0;0,0,0,0,0,0;17.9148148148148,18,18,18,17,19
SensorMeasurementSize54NGroup12NRawSlotNum2ContentionPerRAWSlot134TrafficInterval50000;54;270;12;2;50000;0;134;0,0,0,0,0,0;1,1,1,1,1,1;19.6259259259259,17,21,24,0,47;19.362962962963,17,21,24,0,47;64.1703703703704,60,65,70,42,90;0.0111111111111111,0,0,0,0,1;610.22962962963,563.25,591,619.75,489,1532;0,0,0,0,0,0;948379.148148148,944590,948256,952349,943005,953579;0,0,0,0,0,0;0,0,0,0,0,0;17.9740740740741,18,18,18,17,19
SensorMeasurementSize54NGroup16NRawSlotNum2ContentionPerRAWSlot134TrafficInterval50000;54;270;16;2;50000;0;134;0,0,0,0,0,;0.5,0.25,0.5,0.75,,1;11,5.5,11,16.5,,22;11,5.5,11,16.5,,22;30.5,15.25,30.5,45.75,,61;0,0,0,0,0,;446.5,223.25,446.5,669.75,,893;0,0,0,0,0,0;410365.5,205182.75,410365.5,615548.25,,820731;0,0,0,0,0,;0,0,0,0,0,;7.5,3.75,7.5,11.25,,15
SensorMeasurementSize154NGroup4NRawSlotNum2ContentionPerRAWSlot134TrafficInterval50000;154;270;4;2;50000;0;134;0,0,0,0,0,0;1,1,1,1,1,1;12.3888888888889,5,14,19,1,24;12.3481481481481,5,14,19,1,24;57.1962962962963,49,58,64,42,80;0.0037037037037037,0,0,0,0,1;177.833333333333,162,178.5,191,129,287;0,0,0,0,0,0;864391.87037037,854436,863883,874419,852526,875915;0,0,0,0,0,0;0,0,0,0,0,0;17.9148148148148,18,18,18,17,18
SensorMeasurementSize154NGroup12NRawSlotNum2ContentionPerRAWSlot134TrafficInterval50000;154;270;12;2;50000;0;134;0,0,0,0,0,0;1,1,1,1,1,1;20.8777777777778,17,21,25,1,54;20.6111111111111,17,21,24,1,52;65.4925925925926,60,66,71,44,99;0.0111111111111111,0,0,0,0,1;683.018518518518,572,605,651,496,2013;0,0,0,0,0,0;948169.185185185,944364.75,948039.5,952113.75,942768,953383;0,0,0,0,0,0;0,0,0,0,0,0;18,18,18,18,17,19
SensorMeasurementSize154NGroup8NRawSlotNum2ContentionPerRAWSlot134TrafficInterval50000;154;270;8;2;50000;0;134;0,0,0,0,0,0;1,1,1,1,1,1;17.1185185185185,14,20,22,1,34;16.9185185185185,14,20,22,1,34;62.0296296296296,57,64,69,42,82;0.0185185185185185,0,0,0,0,1;379.003703703704,300.25,375,454,217,601;0,0,0,0,0,0;925908.211111111,920436,925649.5,931571,918920,932874;0,0,0,0,0,0;0,0,0,0,0,0;17.9333333333333,18,18,18,17,19
SensorMeasurementSize54NGroup2NRawSlotNum5ContentionPerRAWSlot124TrafficInterval50000;54;625;2;5;50000;0;124;0.0016,0,0,0,0,1;1,1,1,1,1,1;12.3808,5,13,19,0,61;12.0688,4,12,18,0,31;57.1744,49,57,64,41,84;0.0016,0,0,0,0,1;123.1696,99,117,143,71,239;0,0,0,0,0,0;886206.3296,880720,883041,884868,877317,906504;0,0,0,0,0,0;0,0,0,0,0,0;11.232,8,12,15,0,20
SensorMeasurementSize54NGroup4NRawSlotNum5ContentionPerRAWSlot124TrafficInterval50000;54;625;4;5;50000;0;124;0,0,0,0,0,0;1,1,1,1,1,1;16.432,10,19,22,0,101;16.1632,10,19,22,0,44;62.2912,56,63,69,42,92;0.0016,0,0,0,0,1;205.056,185,201,216,150,571;0,0,0,0,0,0;906951.072,900928,903346,905466,899137,928456;0,0,0,0,0,0;0,0,0,0,0,0;18.1184,18,18,18,17,20
SensorMeasurementSize54NGroup2NRawSlotNum2ContentionPerRAWSlot134TrafficInterval50000;54;270;2;2;50000;0;134;0,0,0,0,0,0;1,1,1,1,1,1;8.8962962962963,2,7,15.75,0,24;8.84444444444444,2,7,15,0,24;52.9111111111111,45,52,60,41,74;0,0,0,0,0,0;108.051851851852,80.25,105,132.5,50,173;0,0,0,0,0,0;851918.777777778,842959,851760.5,860877,840921,862494;0,0,0,0,0,0;0,0,0,0,0,0;11.9703703703704,8,13,17,0,18
SensorMeasurementSize54NGroup4NRawSlotNum2ContentionPerRAWSlot134TrafficInterval50000;54;270;4;2;50000;0;134;0,0,0,0,0,0;1,1,1,1,1,1;12.362962962963,5,14,19,1,25;12.3,5,14,19,1,25;57.1888888888889,49,58,64,42,80;0.0037037037037037,0,0,0,0,1;174.322222222222,157,175,188,126,284;0,0,0,0,0,0;864392.674074074,854436,863883,874419,852526,875915;0,0,0,0,0,0;0,0,0,0,0,0;17.9148148148148,18,18,18,17,18
SensorMeasurementSize154NGroup8NRawSlotNum10ContentionPerRAWSlot129TrafficInterval30000;154;1300;8;10;30000;0;129;5.14846153846154,3,6,6,0,16;0.00538461538461538,0,0,0,0,1;1019.59153846154,1130.5,1175,1189,4,2229;1010.98230769231,1125.75,1174,1188,4,1221;1016.39461538462,1135.75,1178,1192.25,10,1229;-0.389230769230769,-1,-1,-1,-1,4;164.335384615385,0,0,0,0,84228;0,0,0,0,0,0;952914.360769231,946965.5,953698,957700,938260,973320;1.53769230769231,0,0,0,0,7;0,0,0,0,0,0;4.58692307692308,0,6,6,0,35
